chr	st	en	ID	blank	dir	Mll34_ChIP-seq_WT_rep1	Mll34_ChIP-seq_WT_rep2	Mll34_ChIP-seq_dKO_rep1	Mll334_ChIP-seq_dKO_rep2	
chr1	3661280	3661730	NM_001011874	0	-	0.735055	0.910501	1.59496	2.10645
chr1	4350085	4350535	NM_001370921	0	-	0.245018	0.0313966	0.172428	0.14178
chr1	4487136	4487586	NM_001289464	0	-	0.712781	1.28726	0.948356	0.911443
chr1	4775508	4775958	NM_001177658	0	-	2.27199	1.66402	2.71575	2.67357
chr1	4797752	4798202	NM_001355712	0	+	4.96719	3.54782	4.76333	3.60526
chr1	4847623	4848073	NM_001159750	0	+	2.65065	2.7315	3.18992	2.53179
chr1	5060067	5060517	NM_001177795	0	-	0.378665	0.219776	0.431071	0.303814
chr1	5073015	5073465	NM_001310442	0	+	2.0047	1.821	2.43555	1.49882
chr1	5578422	5578872	NM_001204371	0	+	0.512311	0.659329	0.711267	0.749409
chr1	5907180	5907630	NM_010342	0	-	0.735055	1.47564	0.775927	0.830426
chr1	6204591	6205041	NM_009826	0	+	5.52405	4.70949	3.59944	3.3217
chr1	6349260	6349710	NM_001195732	0	+	0.779604	1.06748	0.689713	0.951952
chr1	6477160	6477610	NM_001244692	0	+	0.155921	0.345363	0.193982	0.445595
chr1	7078849	7079299	NM_183028	0	+	4.09849	3.98737	3.77187	2.91662
chr1	9289659	9290109	NM_001290390	0	-	0.601409	0.533742	0.711267	0.85068
chr1	9535337	9535787	NM_021511	0	+	1.80423	1.60123	1.59496	2.91662
chr1	9537877	9538327	NM_001357376	0	+	1.35874	1.41285	1.46564	0.648137
chr1	9591196	9591646	NM_178399	0	+	0.534586	0.313966	0.474178	0.405086
chr1	9620874	9621324	NR_015470	0	-	0.155921	0.313966	0.452624	0.546866
chr1	9689991	9690441	NM_001290397	0	-	2.24971	2.95128	2.19846	2.93687
chr1	9737577	9738027	NR_040462	0	+	0.868702	1.66402	0.797481	1.195
chr1	9738164	9738614	NM_173443	0	-	1.53693	2.13497	1.70273	1.4178
chr1	9788059	9788509	NM_133220	0	+	1.62603	2.35475	1.74584	2.5723
chr1	9898567	9899017	NM_177722	0	+	1.47011	1.16167	1.27166	1.09373
chr1	9932325	9932775	NR_004410	0	-	0.579134	0.345363	0.581945	0.810172
chr1	9933900	9934350	NR_024067	0	-	1.26964	2.13497	1.70273	2.36975
chr1	9957592	9958042	NM_001285425	0	-	1.06917	1.63262	1.48719	1.29627
chr1	9998918	9999368	NM_145692	0	-	1.35874	1.09888	1.07768	1.07348
chr1	10027941	10028391	NM_001277101	0	-	1.29192	1.31866	0.73282	1.53933
chr1	10028147	10028597	NM_026493	0	+	1.02462	0.847708	0.517285	1.25577
chr1	10222452	10222902	NM_001102430	0	-	0.712781	1.00469	1.55185	2.04568
chr1	10709727	10710177	NM_001289497	0	-	0.579134	0.627932	0.452624	0.587375
chr1	10983394	10983844	NM_029525	0	+	1.20282	1.38145	2.02603	1.68111
chr1	11404034	11404484	NM_001160369	0	+	2.6952	2.60592	3.21148	1.9039
chr1	12415915	12416365	NR_105759	0	+	0.0222744	0.408156	0.452624	0.445595
chr1	12657492	12657942	NR_045297	0	+	0	0	0	0
chr1	12682359	12682809	NM_001198565	0	+	5.07856	7.84915	3.85808	4.17239
chr1	12980917	12981367	NM_172841	0	-	5.72452	4.26994	4.52624	3.36221
chr1	13116945	13117395	NM_001081209	0	-	2.6952	3.04547	2.24157	2.06594
chr1	13362211	13362661	NM_001302702	0	-	1.29192	1.50704	1.5303	2.06594
chr1	13579692	13580142	NM_028173	0	-	2.42791	2.22916	2.88817	2.89636
